q,a
แสดง quantity จากตาราง orders_details  สำหรับ quantity ที่ quantity product มากกว่า 4 .,SELECT  quantity  FROM orders_details  WHERE quantity > 4 ;
แสดง ข้อมูลทั้งหมดของ ตารางorderss .,SELECT  *  FROM orderss ;
แสดง ข้อมูลทั้งหมดของ ตารางproducts .,SELECT  *  FROM products ;
แสดง ข้อมูลทั้งหมดof all ตารางorderss  โดย customer number เป็นCU-001,"SELECT  *  FROM orderss  WHERE CustomerNo  =  ""CU-001"" ;"
แสดง ข้อมูลทั้งหมดof all ตารางorderss  โดย date order เป็น2016-04-08,"SELECT  *  FROM orderss  WHERE ODate  =  ""2016-04-08"" ;"
แสดง ข้อมูลทั้งหมดของ ตารางorderss .,SELECT  *  FROM orderss ;
แสดง ข้อมูลทั้งหมดของ ตารางorders_details .,SELECT  *  FROM orders_details ;
แสดง ข้อมูลทั้งหมดของ ตารางproducts .,SELECT  *  FROM products ;
แสดง ข้อมูลทั้งหมดของ ตารางcustomers .,SELECT  *  FROM customers ;
แสดง ข้อมูลทั้งหมดของ ตารางcustomers .,SELECT  *  FROM customers ;
แสดง ข้อมูลทั้งหมดของ ตารางorders_details .,SELECT  *  FROM orders_details ;
แสดง ข้อมูลทั้งหมดของ ตารางorderss .,SELECT  *  FROM orderss ;
แสดง ข้อมูลทั้งหมดของ ตารางproducts .,SELECT  *  FROM products ;
แสดง ข้อมูลทั้งหมดof all ตารางorderss  โดย total order เป็น89,SELECT  *  FROM orderss  WHERE Ototal  =  89 ;
แสดง ข้อมูลทั้งหมดof all ตารางorderss  โดย order number เป็นOR-002,"SELECT  *  FROM orderss  WHERE OrderNo  =  ""OR-002"" ;"
แสดง ข้อมูลทั้งหมดof all ตารางproducts  โดย product name เป็นBARF,"SELECT  *  FROM products  WHERE PName  =  ""BARF"" ;"
แสดง ข้อมูลทั้งหมดof all ตารางorders_details  โดย product number เป็น001,"SELECT  *  FROM orders_details  WHERE ProductNo  =  ""001"" ;"
แสดง ข้อมูลทั้งหมดของ ตารางorderss .,SELECT  *  FROM orderss ;
แสดง ข้อมูลทั้งหมดของ ตารางproducts .,SELECT  *  FROM products ;
แสดง ข้อมูลทั้งหมดของ ตารางorders_details .,SELECT  *  FROM orders_details ;
แสดง ข้อมูลทั้งหมดของ ตารางorders_details  โดย order number เป็นOR-002,"SELECT  *  FROM orders_details  WHERE OrderNo  =  ""OR-002"" ;"
แสดง ข้อมูลทั้งหมดของ ตารางcustomers  โดย customer number เป็นCU-002,"SELECT  *  FROM customers  WHERE CustomerNo  =  ""CU-002"" ;"
แสดง ข้อมูลทั้งหมดของ ตารางorders_details  โดย order number เป็นOR-002,"SELECT  *  FROM orders_details  WHERE OrderNo  =  ""OR-002"" ;"
"แสดง ข้อมูลของ  customers  ทั้งหมดของ CAddress,CName .","SELECT  CAddress,CName  FROM customers ;"
"แสดง ข้อมูลของ  CustomerNo,OrderNo,Ototal,ODate  ทั้งหมดของ orderss .","SELECT  CustomerNo,OrderNo,Ototal,ODate  FROM orderss ;"
"แสดง ข้อมูลของ  orderss  ทั้งหมดของ CustomerNo,OrderNo,Ototal,ODate .","SELECT  CustomerNo,OrderNo,Ototal,ODate  FROM orderss ;"
"แสดง ข้อมูลของ  ProductNo,OrderNo  ทั้งหมดของ orders_details .","SELECT  ProductNo,OrderNo  FROM orders_details ;"
"แสดง ข้อมูลของ  products  ทั้งหมดของ ProductNo,PTotal,PName,PPrice .","SELECT  ProductNo,PTotal,PName,PPrice  FROM products ;"
"แสดง ข้อมูลของ  orders_details  ทั้งหมดของ ProductNo,OrderNo .","SELECT  ProductNo,OrderNo  FROM orders_details ;"
"แสดง ข้อมูลของ  CAddress,CName  ทั้งหมดของ customers .","SELECT  CAddress,CName  FROM customers ;"
แสดงcustomer province จากตาราง customers  ที่ขึ้นต้นด้วย R และลงท้ายด้วย T.,"SELECT  CProvince  FROM customers  WHERE CProvince LIKE ""R%  ""%T"" ;"
แสดงcustomer province จากตาราง customers  ที่ขึ้นต้นด้วย J .,"SELECT  CProvince  FROM customers  WHERE CProvince LIKE ""J%  "" ;"
แสดงcustomer address จากตาราง customers  ที่ขึ้นต้นด้วย H .,"SELECT  CAddress  FROM customers  WHERE CAddress LIKE ""H%  "" ;"
แสดงdate order จากตาราง orderss  ที่ขึ้นต้นด้วย Y และลงท้ายด้วย R.,"SELECT  CustomerNo  FROM orderss  WHERE CustomerNo LIKE ""Y%  ""%R"" ;"
แสดงphone number จากตาราง customers  ที่ขึ้นต้นด้วย Y .,"SELECT  CPhone  FROM customers  WHERE CPhone LIKE ""Y%  "" ;"
แสดงproduct name จากตาราง products  ที่ขึ้นต้นด้วย N และลงท้ายด้วย Q.,"SELECT  PName  FROM products  WHERE PName LIKE ""N%  ""%Q"" ;"
แสดงphone number จากตาราง customers  ที่ขึ้นต้นด้วย X .,"SELECT  CPhone  FROM customers  WHERE CPhone LIKE ""X%  "" ;"
แสดงรายละเอียดของตาราง  quantity พร้อมทั้ง feild_name1 และ feild_name2 จากตาราง  products .,"SELECT  orders_details.quantity, products.PName  FROM orders_details  JOIN  products  ON  orders_details.ProductNo = products.ProductNo ;"
แสดงรายละเอียดของตาราง  CPhone พร้อมทั้ง feild_name1 และ feild_name2 จากตาราง  orderss  ของแต่ละ  CustomerNo.,"SELECT  customers.CPhone, orderss.ODate, orderss.Ototal, orderss.OrderNo  FROM customers  ,  orderss  WHERE  customers.CustomerNo = orderss.CustomerNo ;"
แสดงรายละเอียดของตาราง  CPhone พร้อมทั้ง feild_name1 และ feild_name2 จากตาราง  orderss .,"SELECT  customers.CPhone, orderss.ODate, orderss.Ototal, orderss.OrderNo  FROM customers  JOIN  orderss  ON  customers.CustomerNo = orderss.CustomerNo ;"
Showรายละเอียดของตาราง  orderss และ customers ที่มี CustomerNo ตรงกัน .,SELECT  *  FROM orderss  JOIN  customers  WHERE  orderss.CustomerNo = customers.CustomerNo ;
"แสดงรายละเอียดของตาราง  quantity พร้อมทั้ง Ototal, ODate, CustomerNo จากตาราง  orderss .","SELECT  orders_details.quantity, orderss.Ototal, orderss.ODate, orderss.CustomerNo  FROM orders_details  JOIN  orderss  ON  orders_details.OrderNo = orderss.OrderNo ;"
Selectรายละเอียดของตาราง  customers และ orderss ที่มี CustomerNo ตรงกัน .,SELECT  *  FROM customers  JOIN  orderss  WHERE  customers.CustomerNo = orderss.CustomerNo ;
"แสดงรายละเอียดของตาราง  quantity พร้อมทั้ง Ototal, ODate, CustomerNo จากตาราง  orderss  ของแต่ละ  OrderNo.","SELECT  orders_details.quantity, orderss.Ototal, orderss.ODate, orderss.CustomerNo  FROM orders_details  ,  orderss  WHERE  orders_details.OrderNo = orderss.OrderNo ;"
Showรายละเอียดของตาราง  orders_details และ orderss ที่มี OrderNo ตรงกัน .,SELECT  *  FROM orders_details  JOIN  orderss  WHERE  orders_details.OrderNo = orderss.OrderNo ;
แสดงรายละเอียดของตาราง  quantity พร้อมทั้ง CustomerNo จากตาราง  orderss .,"SELECT  orders_details.quantity, orderss.CustomerNo  FROM orders_details  JOIN  orderss  ON  orders_details.OrderNo = orderss.OrderNo ;"
แสดงรายละเอียดของตาราง  Ototal พร้อมทั้ง OrderNo จากตาราง  orders_details  ของแต่ละ  OrderNo.,"SELECT  orderss.Ototal, orders_details.OrderNo  FROM orderss  ,  orders_details  WHERE  orderss.OrderNo = orders_details.OrderNo ;"
แสดงรายละเอียดของตาราง  orderss และ orders_details ที่มี OrderNo ตรงกัน .,SELECT  *  FROM orderss  JOIN  orders_details  WHERE  orderss.OrderNo = orders_details.OrderNo ;
แสดงรายละเอียดของตาราง  Ototal พร้อมทั้ง OrderNo จากตาราง  orders_details .,"SELECT  orderss.Ototal, orders_details.OrderNo  FROM orderss  JOIN  orders_details  ON  orderss.OrderNo = orders_details.OrderNo ;"
"แสดง รายละเอียดของตาราง  Ototal พร้อมทั้ง OrderNo, ProductNo จากตาราง  orders_details  ของแต่ละ  OrderNo.","SELECT  orderss.Ototal, orders_details.OrderNo, orders_details.ProductNo  FROM orderss  ,  orders_details  WHERE  orderss.OrderNo = orders_details.OrderNo ;"
"แสดง รายละเอียดของตาราง  quantity พร้อมทั้ง OrderNo, CustomerNo จากตาราง  orderss .","SELECT  orders_details.quantity, orderss.OrderNo, orderss.CustomerNo  FROM orders_details  JOIN  orderss  ON  orders_details.OrderNo = orderss.OrderNo ;"
"แสดง รายละเอียดของตาราง  quantity พร้อมทั้ง OrderNo, CustomerNo จากตาราง  orderss  ของแต่ละ  OrderNo.","SELECT  orders_details.quantity, orderss.OrderNo, orderss.CustomerNo  FROM orders_details  ,  orderss  WHERE  orders_details.OrderNo = orderss.OrderNo ;"
"แสดง รายละเอียดของตาราง  Ototal พร้อมทั้ง quantity, ProductNo, OrderNo จากตาราง  orders_details  ของแต่ละ  OrderNo.","SELECT  orderss.Ototal, orders_details.quantity, orders_details.ProductNo, orders_details.OrderNo  FROM orderss  ,  orders_details  WHERE  orderss.OrderNo = orders_details.OrderNo ;"
"แสดง รายละเอียดของตาราง  quantity พร้อมทั้ง ODate, OrderNo จากตาราง  orderss  ของแต่ละ  OrderNo.","SELECT  orders_details.quantity, orderss.ODate, orderss.OrderNo  FROM orders_details  ,  orderss  WHERE  orders_details.OrderNo = orderss.OrderNo ;"
"แสดง รายละเอียดของตาราง  quantity พร้อมทั้ง ODate, OrderNo จากตาราง  orderss .","SELECT  orders_details.quantity, orderss.ODate, orderss.OrderNo  FROM orders_details  JOIN  orderss  ON  orders_details.OrderNo = orderss.OrderNo ;"
Listรายละเอียดของตาราง  orders_details และ products ที่มี ProductNo ตรงกัน .,SELECT  *  FROM orders_details  JOIN  products  WHERE  orders_details.ProductNo = products.ProductNo ;
"แสดงรายละเอียดของตาราง  Ototal พร้อมทั้ง OrderNo, ProductNo, quantity จากตาราง  orders_details  ของแต่ละ  OrderNo.","SELECT  orderss.Ototal, orders_details.OrderNo, orders_details.ProductNo, orders_details.quantity  FROM orderss  ,  orders_details  WHERE  orderss.OrderNo = orders_details.OrderNo ;"
"แสดงรายละเอียดของตาราง  quantity พร้อมทั้ง PName, PTotal, PPrice, ProductNo จากตาราง  products  ของแต่ละ  ProductNo.","SELECT  orders_details.quantity, products.PName, products.PTotal, products.PPrice, products.ProductNo  FROM orders_details  ,  products  WHERE  orders_details.ProductNo = products.ProductNo ;"
"แสดงรายละเอียดของตาราง  Ototal พร้อมทั้ง OrderNo, ProductNo, quantity จากตาราง  orders_details .","SELECT  orderss.Ototal, orders_details.OrderNo, orders_details.ProductNo, orders_details.quantity  FROM orderss  JOIN  orders_details  ON  orderss.OrderNo = orders_details.OrderNo ;"
แสดงรายละเอียดของตาราง  CPhone พร้อมทั้ง Ototal จากตาราง  orderss .,"SELECT  customers.CPhone, orderss.Ototal  FROM customers  JOIN  orderss  ON  customers.CustomerNo = orderss.CustomerNo ;"
แสดงรายละเอียดของตาราง  products และ orders_details ที่มี ProductNo ตรงกัน .,SELECT  *  FROM products  JOIN  orders_details  WHERE  products.ProductNo = orders_details.ProductNo ;
แสดงรายละเอียดของตาราง  CPhone พร้อมทั้ง Ototal จากตาราง  orderss  ของแต่ละ  CustomerNo.,"SELECT  customers.CPhone, orderss.Ototal  FROM customers  ,  orderss  WHERE  customers.CustomerNo = orderss.CustomerNo ;"
"แสดงรายละเอียดของตาราง  PTotal พร้อมทั้ง quantity, OrderNo จากตาราง  orders_details .","SELECT  products.PTotal, orders_details.quantity, orders_details.OrderNo  FROM products  JOIN  orders_details  ON  products.ProductNo = orders_details.ProductNo ;"
แสดงรายละเอียดของตาราง  orderss และ customers ที่มี CustomerNo ตรงกัน .,SELECT  *  FROM orderss  JOIN  customers  WHERE  orderss.CustomerNo = customers.CustomerNo ;
แสดงรายละเอียดของตาราง  orders_details และ products ที่มี ProductNo ตรงกัน .,SELECT  *  FROM orders_details  JOIN  products  WHERE  orders_details.ProductNo = products.ProductNo ;
